
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Laptop and Tablet, DOM ID: BUTTONsubmit____43, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status: Fail
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status: Fail
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status: Fail
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Fail
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status: Fail
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
Task: 2, Test Name: Validate number of filtered products for Black color filter:, DOM ID: Filter Results, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status: Fail
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Fail
